node_id,out_degree_w,in_degree_w,eigenvector,betweenness,role,event_id
eth_usdc_exchange_flows,3.5536405541298643,0.6876193490732854,0.24522254763182003,0.0,originator,usdc_svb_2023
usdc_mint_burn,1.375807258362262,0.9999990731573387,0.2912122057834407,0.0,mixed,usdc_svb_2023
eth_usdt_exchange_flows,1.375807222603594,0.9999990233227757,0.29121218854933,0.0,mixed,usdc_svb_2023
usdt_kraken,1.0673588393153997,0.7625472139827312,0.2648046604517614,0.22222222222222224,amplifier,usdc_svb_2023
usdt_binance,0.9971639069598838,0.8121139244364706,0.275851478240586,0.0,mixed,usdc_svb_2023
uniswap_usdc_usdt_005,0.4218196102659951,0.94791489173155,0.3171500591137641,0.0,mixed,usdc_svb_2023
curve_3pool,0.39304032076144674,0.9423856707237335,0.3173406293680339,0.0,sink,usdc_svb_2023
eth_bridge_flows,0.36491633857404693,0.999999928962988,0.3276219562984292,0.4777777777777778,sink,usdc_svb_2023
usdc_kraken,0.2501332714701452,0.9691979753841846,0.3220249318978934,0.0,sink,usdc_svb_2023
usdc_binance,0.215325852831418,0.9740570105542214,0.3242835622638658,0.0,sink,usdc_svb_2023
usdc_coinbase,0.0692890435777041,0.988468157522481,0.3264291676930297,0.16666666666666669,sink,usdc_svb_2023
