window_center,caused_node,causing_node,fevd_share,method,event_id
-345600.0,usdt_binance,usdt_binance,0.0019322299868052325,tvp_var_rolling,terra_luna_2022
-345600.0,usdt_binance,ust_binance,0.9980677700131948,tvp_var_rolling,terra_luna_2022
-345600.0,ust_binance,usdt_binance,0.0011549702937447422,tvp_var_rolling,terra_luna_2022
-345600.0,ust_binance,ust_binance,0.9988450297062553,tvp_var_rolling,terra_luna_2022
-259200.0,usdt_binance,usdt_binance,0.005912439854112963,tvp_var_rolling,terra_luna_2022
-259200.0,usdt_binance,ust_binance,0.9940875601458868,tvp_var_rolling,terra_luna_2022
-259200.0,ust_binance,usdt_binance,0.01750780314289235,tvp_var_rolling,terra_luna_2022
-259200.0,ust_binance,ust_binance,0.9824921968571074,tvp_var_rolling,terra_luna_2022
-172800.0,usdt_binance,usdt_binance,0.0017424093558595817,tvp_var_rolling,terra_luna_2022
-172800.0,usdt_binance,ust_binance,0.9982575906441405,tvp_var_rolling,terra_luna_2022
-172800.0,ust_binance,usdt_binance,0.005805250081958819,tvp_var_rolling,terra_luna_2022
-172800.0,ust_binance,ust_binance,0.9941947499180414,tvp_var_rolling,terra_luna_2022
-86400.0,usdt_binance,usdt_binance,0.0017786455461675239,tvp_var_rolling,terra_luna_2022
-86400.0,usdt_binance,ust_binance,0.9982213544538326,tvp_var_rolling,terra_luna_2022
-86400.0,ust_binance,usdt_binance,0.0029423925064756243,tvp_var_rolling,terra_luna_2022
-86400.0,ust_binance,ust_binance,0.9970576074935246,tvp_var_rolling,terra_luna_2022
0.0,usdt_binance,usdt_binance,0.0006058532431739182,tvp_var_rolling,terra_luna_2022
0.0,usdt_binance,ust_binance,0.999394146756826,tvp_var_rolling,terra_luna_2022
0.0,ust_binance,usdt_binance,0.000984007570745186,tvp_var_rolling,terra_luna_2022
0.0,ust_binance,ust_binance,0.9990159924292547,tvp_var_rolling,terra_luna_2022
86400.0,usdt_binance,usdt_binance,0.0003318515527976608,tvp_var_rolling,terra_luna_2022
86400.0,usdt_binance,ust_binance,0.9996681484472023,tvp_var_rolling,terra_luna_2022
86400.0,ust_binance,usdt_binance,0.01473628581652451,tvp_var_rolling,terra_luna_2022
86400.0,ust_binance,ust_binance,0.9852637141834755,tvp_var_rolling,terra_luna_2022
172800.0,usdt_binance,usdt_binance,0.02687496378691728,tvp_var_rolling,terra_luna_2022
172800.0,usdt_binance,ust_binance,0.9731250362130827,tvp_var_rolling,terra_luna_2022
172800.0,ust_binance,usdt_binance,0.022154480767910066,tvp_var_rolling,terra_luna_2022
172800.0,ust_binance,ust_binance,0.9778455192320897,tvp_var_rolling,terra_luna_2022
